weekday	month	year	hour	season	holiday	workingday	weather	temp	atemp	humidity	windspeed	casual	registered
Saturday	January	11	0	1	0	0	1	9.84	14.395	81	0	3	13
Saturday	January	11	1	1	0	0	1	9.02	13.635	80	0	8	32
Saturday	January	11	2	1	0	0	1	9.02	13.635	80	0	5	27
Saturday	January	11	3	1	0	0	1	9.84	14.395	75	0	3	10
Saturday	January	11	4	1	0	0	1	9.84	14.395	75	0	0	1
Saturday	January	11	5	1	0	0	2	9.84	12.88	75	6.0032	0	1
Saturday	January	11	6	1	0	0	1	9.02	13.635	80	0	2	0
Saturday	January	11	7	1	0	0	1	8.2	12.88	86	0	1	2
Saturday	January	11	8	1	0	0	1	9.84	14.395	75	0	1	7
Saturday	January	11	9	1	0	0	1	13.12	17.425	76	0	8	6
Saturday	January	11	10	1	0	0	1	15.58	19.695	76	16.9979	12	24
Saturday	January	11	11	1	0	0	1	14.76	16.665	81	19.0012	26	30
Saturday	January	11	12	1	0	0	1	17.22	21.21	77	19.0012	29	55
Saturday	January	11	13	1	0	0	2	18.86	22.725	72	19.9995	47	47
Saturday	January	11	14	1	0	0	2	18.86	22.725	72	19.0012	35	71
Saturday	January	11	15	1	0	0	2	18.04	21.97	77	19.9995	40	70
Saturday	January	11	16	1	0	0	2	17.22	21.21	82	19.9995	41	52
Saturday	January	11	17	1	0	0	2	18.04	21.97	82	19.0012	15	52
Saturday	January	11	18	1	0	0	3	17.22	21.21	88	16.9979	9	26
Saturday	January	11	19	1	0	0	3	17.22	21.21	88	16.9979	6	31
Saturday	January	11	20	1	0	0	2	16.4	20.455	87	16.9979	11	25
Saturday	January	11	21	1	0	0	2	16.4	20.455	87	12.998	3	31
Saturday	January	11	22	1	0	0	2	16.4	20.455	94	15.0013	11	17
Saturday	January	11	23	1	0	0	2	18.86	22.725	88	19.9995	15	24
Sunday	January	11	0	1	0	0	2	18.86	22.725	88	19.9995	4	13
Sunday	January	11	1	1	0	0	2	18.04	21.97	94	16.9979	1	16
Sunday	January	11	2	1	0	0	2	17.22	21.21	100	19.0012	1	8
Sunday	January	11	3	1	0	0	2	18.86	22.725	94	12.998	2	4
Sunday	January	11	4	1	0	0	2	18.86	22.725	94	12.998	2	1
Sunday	January	11	6	1	0	0	3	17.22	21.21	77	19.9995	0	2
Sunday	January	11	7	1	0	0	2	16.4	20.455	76	12.998	0	1
Sunday	January	11	8	1	0	0	3	16.4	20.455	71	15.0013	0	8
Sunday	January	11	9	1	0	0	2	15.58	19.695	76	15.0013	1	19
Sunday	January	11	10	1	0	0	2	14.76	17.425	81	15.0013	7	46
Sunday	January	11	11	1	0	0	2	14.76	16.665	71	16.9979	16	54
Sunday	January	11	12	1	0	0	2	14.76	16.665	66	19.9995	20	73
Sunday	January	11	13	1	0	0	2	14.76	17.425	66	8.9981	11	64
Sunday	January	11	14	1	0	0	3	14.76	17.425	76	12.998	4	55
Sunday	January	11	15	1	0	0	3	13.94	16.665	81	11.0014	19	55
Sunday	January	11	16	1	0	0	3	13.94	16.665	71	11.0014	9	67
Sunday	January	11	17	1	0	0	1	13.94	16.665	57	12.998	7	58
Sunday	January	11	18	1	0	0	2	14.76	16.665	46	22.0028	10	43
Sunday	January	11	19	1	0	0	1	13.12	14.395	42	30.0026	1	29
Sunday	January	11	20	1	0	0	1	12.3	13.635	39	23.9994	5	17
Sunday	January	11	21	1	0	0	1	10.66	11.365	44	22.0028	11	20
Sunday	January	11	22	1	0	0	1	9.84	10.605	44	19.9995	0	9
Sunday	January	11	23	1	0	0	1	9.02	11.365	47	11.0014	0	8
Monday	January	11	0	1	0	1	1	9.02	9.85	44	23.9994	0	5
Monday	January	11	1	1	0	1	1	8.2	8.335	44	27.9993	0	2
Monday	January	11	4	1	0	1	1	6.56	6.82	47	26.0027	0	1
Monday	January	11	5	1	0	1	1	6.56	6.82	47	19.0012	0	3
Monday	January	11	6	1	0	1	1	5.74	5.305	50	26.0027	0	30
Monday	January	11	7	1	0	1	1	5.74	6.82	50	12.998	1	63
Monday	January	11	8	1	0	1	1	5.74	6.06	50	19.0012	1	153
Monday	January	11	9	1	0	1	1	6.56	6.82	43	26.0027	7	81
Monday	January	11	10	1	0	1	1	7.38	8.335	43	16.9979	11	33
Monday	January	11	11	1	0	1	1	8.2	9.09	40	22.0028	10	41
Monday	January	11	12	1	0	1	1	9.02	10.605	35	19.9995	13	48
Monday	January	11	13	1	0	1	1	9.84	10.605	35	19.0012	8	53
Monday	January	11	14	1	0	1	1	10.66	12.12	30	19.0012	11	66
Monday	January	11	15	1	0	1	1	10.66	12.12	30	16.9979	14	58
Monday	January	11	16	1	0	1	1	10.66	12.12	30	16.9979	9	67
Monday	January	11	17	1	0	1	1	9.84	11.365	30	15.0013	11	146
Monday	January	11	18	1	0	1	1	9.84	12.88	32	7.0015	9	148
Monday	January	11	19	1	0	1	1	8.2	12.88	47	0	8	102
Monday	January	11	20	1	0	1	1	8.2	11.365	47	7.0015	3	49
Monday	January	11	21	1	0	1	1	7.38	9.85	64	8.9981	3	49
Monday	January	11	22	1	0	1	1	5.74	7.575	69	8.9981	0	20
